Time (s),EEG Fpz-Cz_Original,EEG Fpz-Cz_Filtered,EEG Pz-Oz_Original,EEG Pz-Oz_Filtered,EOG horizontal_Original,EOG horizontal_Filtered,Resp oro-nasal_Original,Resp oro-nasal_Filtered,EMG submental_Original,EMG submental_Filtered,Temp rectal_Original,Temp rectal_Filtered,Event marker_Original,Event marker_Filtered
0.11,2.016117216117216,2.016117216117216,-13.408058608058594,-13.408058608058594,-5.174358974358922,-5.174358974358922,-440438409.26944304,-440438409.26944304,3.564758072775558,3.564758072775558,37194434.09386173,37194434.09386173,919048944.7746397,919048944.7746397
0.12,1.641025641025641,1.641025641025641,-10.816849816849805,-10.816849816849805,-7.1455433455432935,-7.1455433455432935,-434922371.542388,-434922371.542388,3.5658172203638983,3.5658172203638983,37193582.36171091,37193582.36171091,918919955.6408689,918919955.6408689
0.13,-2.672527472527473,-2.672527472527473,-4.290842490842478,-4.290842490842478,-6.159951159951108,-6.159951159951108,-429120273.5379706,-429120273.5379706,3.5668531065180025,3.5668531065180025,37192770.74785194,37192770.74785194,918784226.8168635,918784226.8168635
0.14,-0.7970695970695972,-0.7970695970695972,-3.427106227106215,-3.427106227106215,-5.667155067155015,-5.667155067155015,-423033575.5427108,-423033575.5427108,3.5678642893357604,3.5678642893357604,37191999.174747236,37191999.174747236,918641854.5078344,918641854.5078344
0.15,1.3597069597069595,1.3597069597069595,-3.043223443223431,-3.043223443223431,-8.13113553113548,-8.13113553113548,-416663921.1678116,-416663921.1678116,3.5688493462754853,3.5688493462754853,37191267.54371953,37191267.54371953,918492939.2752477,918492939.2752477
0.16,2.8600732600732592,2.8600732600732592,-1.6036630036629915,-1.6036630036629915,-14.537484737484686,-14.537484737484686,-410013137.2643431,-410013137.2643431,3.5698068754420014,3.5698068754420014,37190575.7351079,37190575.7351079,918337585.9794483,918337585.9794483
0.17,-2.203663003663004,-2.203663003663004,-8.033699633699621,-8.033699633699621,-6.652747252747201,-6.652747252747201,-403083233.716459,-403083233.716459,3.570735496857969,3.570735496857969,37189923.6084368,37189923.6084368,918175903.719365,918175903.719365
0.18,0.5157509157509156,0.5157509157509156,-5.826373626373614,-5.826373626373614,-17.49426129426124,-17.49426129426124,-395876403.11231875,-395876403.11231875,3.5716338537193706,3.5716338537193706,37189311.0025992,37189311.0025992,918008005.7693269,918008005.7693269
0.19,5.8608058608058595,5.8608058608058595,-7.4578754578754465,-7.4578754578754465,-15.52307692307687,-15.52307692307687,-388395020.29247385,-388395020.29247385,3.5725006136340367,3.5725006136340367,37188737.73605204,37188737.73605204,917834009.5130274,917834009.5130274
0.2,-1.7347985347985346,-1.7347985347985346,-3.715018315018303,-3.715018315018303,-10.10231990231985,-10.10231990231985,-380641641.77556026,-380641641.77556026,3.5733344698421714,3.5733344698421714,37188203.60702533,37188203.60702533,917654036.3746673,917654036.3746673
0.21,-3.047619047619048,-3.047619047619048,-1.9875457875457754,-1.9875457875457754,-11.580708180708127,-11.580708180708127,-372619005.06122494,-372619005.06122494,3.574134142417779,3.574134142417779,37187708.39374369,37187708.39374369,917468211.7473147,917468211.7473147
0.22,2.8600732600732592,2.8600732600732592,-3.427106227106215,-3.427106227106215,-7.1455433455432935,-7.1455433455432935,-364330027.8102987,-364330027.8102987,3.5748983794499627,3.5748983794499627,37187251.8546607,37187251.8546607,917276664.9185268,917276664.9185268
0.23,7.83003663003663,7.83003663003663,-10.720879120879108,-10.720879120879108,-14.537484737484686,-14.537484737484686,-355777806.902315,-355777806.902315,3.57562595820304,3.57562595820304,37186833.72870547,37186833.72870547,917079528.9932626,917079528.9932626
0.24,2.953846153846153,2.953846153846153,-11.488644688644674,-11.488644688644674,-16.015873015872963,-16.015873015872963,-346965617.3705572,-346965617.3705572,3.576315686254503,3.576315686254503,37186453.73554142,37186453.73554142,916876940.8141491,916876940.8141491
0.25,-0.9846153846153847,-0.9846153846153847,-8.705494505494494,-8.705494505494494,-13.5518925518925,-13.5518925518925,-337896911.2149056,-337896911.2149056,3.5769664026097403,3.5769664026097403,37186111.57583712,37186111.57583712,916669040.8791189,916669040.8791189
0.26,-1.9223443223443226,-1.9223443223443226,-2.7553113553113433,-2.7553113553113433,-24.393406593406542,-24.393406593406542,-328575316.0928391,-328575316.0928391,3.57757697879262,3.57757697879262,37185806.93154865,37185806.93154865,916455973.2564934,916455973.2564934
0.27,-6.704761904761905,-6.704761904761905,-2.7553113553113433,-2.7553113553113433,-20.4510378510378,-20.4510378510378,-319004633.8890342,-319004633.8890342,3.5781463199109074,3.5781463199109074,37185539.46621343,37185539.46621343,916237885.4975411,916237885.4975411
0.28,-7.5487179487179485,-7.5487179487179485,-2.659340659340647,-2.659340659340647,-22.42222222222217,-22.42222222222217,-309188839.16408795,-309188839.16408795,3.5786733656956136,3.5786733656956136,37185308.82525556,37185308.82525556,916014928.5465685,916014928.5465685
0.29,-4.82930402930403,-4.82930402930403,0.603663003663016,0.603663003663016,-19.958241758241705,-19.958241758241705,-299132077.48297626,-299132077.48297626,3.579157091513297,3.579157091513297,37185114.63630162,37185114.63630162,915787256.6485939,915787256.6485939
0.3,-12.61245421245421,-12.61245421245421,3.962637362637375,3.962637362637375,-21.436630036629982,-21.436630036629982,-288838663.6239497,-288838663.6239497,3.5795965093504725,3.5795965093504725,37184956.50950754,37184956.50950754,915555027.2546632,915555027.2546632
0.31,-9.236630036630038,-9.236630036630038,-1.3157509157509035,-1.3157509157509035,-28.828571428571376,-28.828571428571376,-278313079.6686474,-278313079.6686474,3.5799906687691943,3.5799906687691943,37184834.03789559,37184834.03789559,915318400.9248495,915318400.9248495
0.32,-12.331135531135532,-12.331135531135532,-2.5633699633699507,-2.5633699633699507,-24.393406593406542,-24.393406593406542,-267559972.97429633,-267559972.97429633,3.580338657832989,3.580338657832989,37184746.79770181,37184746.79770181,915077541.2290139,915077541.2290139
0.33,-8.2989010989011,-8.2989010989011,-1.9875457875457754,-1.9875457875457754,-22.915018315018266,-22.915018315018266,-256584154.02895167,-256584154.02895167,3.5806396040022506,3.5806396040022506,37184694.34873299,37184694.34873299,914832614.6453642,914832614.6453642
0.34,-16.36336996336996,-16.36336996336996,-5.6344322344322215,-5.6344322344322215,-20.4510378510378,-20.4510378510378,-245390594.19081223,-245390594.19081223,3.580892674998355,3.580892674998355,37184676.234733336,37184676.234733336,914583790.4568907,914583790.4568907
0.35,-21.145787545787545,-21.145787545787545,-0.6439560439560317,-0.6439560439560317,-17.987057387057334,-17.987057387057334,-233984423.31273192,-233984423.31273192,3.581097079635631,3.581097079635631,37184691.98376021,37184691.98376021,914331240.6457263,914331240.6457263
0.36,-23.67765567765568,-23.67765567765568,1.5633699633699754,1.5633699633699754,-27.84297924297919,-27.84297924297919,-222370927.25313047,-222370927.25313047,3.581252068620486,3.581252068620486,37184741.10856909,37184741.10856909,914075139.7855076,914075139.7855076
0.37,-21.23956043956044,-21.23956043956044,-0.7399267399267278,-0.7399267399267278,-19.958241758241705,-19.958241758241705,-210555545.2745854,-210555545.2745854,3.5813569353169012,3.5813569353169012,37184823.107006975,37184823.107006975,913815664.9317904,913815664.9317904
0.38,-20.208058608058607,-20.208058608058607,1.2754578754578876,1.2754578754578876,-22.915018315018266,-22.915018315018266,-198543867.3314764,-198543867.3314764,3.5814110164776083,3.5814110164776083,37184937.46241403,37184937.46241403,913552995.510592,913552995.510592
0.39,-23.771428571428572,-23.771428571428572,-5.826373626373614,-5.826373626373614,-16.015873015872963,-16.015873015872963,-186341631.24812403,-186341631.24812403,3.5814136929402864,3.5814136929402864,37185083.64403335,37185083.64403335,913287313.2051299,913287313.2051299
0.4,-26.115750915750915,-26.115750915750915,0.411721611721624,0.411721611721624,-17.49426129426124,-17.49426129426124,-173954719.78895488,-173954719.78895488,3.581364390288059,3.581364390288059,37185261.10742825,37185261.10742825,913018801.8408208,913018801.8408208
0.41,-25.646886446886448,-25.646886446886448,1.5633699633699754,1.5633699633699754,-22.915018315018266,-22.915018315018266,-161389157.62229398,-161389157.62229398,3.58126257947375,3.58126257947375,37185469.29490706,37185469.29490706,912747647.2686164,912747647.2686164
0.42,-26.115750915750915,-26.115750915750915,4.3465201465201595,4.3465201465201595,-15.52307692307687,-15.52307692307687,-148651108.17947328,-148651108.17947328,3.5811077774072237,3.5811077774072237,37185707.63595475,37185707.63595475,912474037.246742,912474037.246742
0.43,-26.678388278388276,-26.678388278388276,2.9069597069597193,2.9069597069597193,-19.958241758241705,-19.958241758241705,-135746870.41101384,-135746870.41101384,3.5808995475053025,3.5808995475053025,37185975.54767119,37185975.54767119,912198161.3209169,912198161.3209169
0.44,-22.833699633699634,-22.833699633699634,-0.06813186813185584,-0.06813186813185584,-12.566300366300315,-12.566300366300315,-122682875.44172174,-122682875.44172174,3.580637500203686,3.580637500203686,37186272.43521585,37186272.43521585,911920210.7031281,911920210.7031281
0.45,-22.458608058608057,-22.458608058608057,2.9069597069597193,2.9069597069597193,-16.015873015872963,-16.015873015872963,-109465683.12660694,-109465683.12660694,3.580321293430382,3.580321293430382,37186597.692258395,37186597.692258395,911640378.1490324,911640378.1490324
0.46,-21.520879120879123,-21.520879120879123,5.402197802197814,5.402197802197814,-16.015873015872963,-16.015873015872963,-96101978.50961477,-96101978.50961477,3.579950633040181,3.579950633040181,37186950.70143473,37186950.70143473,911358857.8340691,911358857.8340691
0.47,-16.644688644688646,-16.644688644688646,1.1794871794871917,1.1794871794871917,-9.116727716727665,-9.116727716727665,-82598568.18722403,-82598568.18722403,3.579525273209724,3.579525273209724,37187330.83480852,37187330.83480852,911075845.2283518,911075845.2283518
0.48,-16.08205128205128,-16.08205128205128,1.7553113553113675,1.7553113553113675,-16.015873015872963,-16.015873015872963,-68962376.57904643,-68962376.57904643,3.5790450167927452,3.5790450167927452,37187737.454337545,37187737.454337545,910791536.970431,910791536.970431
0.49,-11.393406593406594,-11.393406593406594,-11.008791208791196,-11.008791208791196,-22.915018315018266,-22.915018315018266,-55200442.10762248,-55200442.10762248,3.5785097156351315,3.5785097156351315,37188169.91234449,37188169.91234449,910506130.7399923,910506130.7399923
0.5,-11.58095238095238,-11.58095238095238,-11.104761904761892,-11.104761904761892,-17.987057387057334,-17.987057387057334,-41319913.28968524,-41319913.28968524,3.577919270849446,3.577919270849446,37188627.55199206,37188627.55199206,910219825.1295904,910219825.1295904
0.51,-15.425641025641024,-15.425641025641024,-10.336996336996323,-10.336996336996323,-8.13113553113548,-8.13113553113548,-27328044.741225958,-27328044.741225958,3.577273633048597,3.577273633048597,37189109.70776161,37189109.70776161,909932819.5154805,909932819.5154805
0.52,-15.238095238095237,-15.238095238095237,-6.114285714285702,-6.114285714285702,-10.595115995115941,-10.595115995115941,-13232193.09876302,-13232193.09876302,3.5765728025383865,3.5765728025383865,37189615.705935724,37189615.705935724,909645313.9276463,909645313.9276463
0.53,-14.487912087912088,-14.487912087912088,-2.3714285714285595,-2.3714285714285595,-9.609523809523756,-9.609523809523756,960187.1407200743,960187.1407200743,3.575816829468696,3.575816829468696,37190144.86508338,37190144.86508338,909357508.919099,909357508.919099
0.54,-16.644688644688646,-16.644688644688646,-1.6996336996336874,-1.6996336996336874,-12.073504273504222,-12.073504273504222,15241547.858641807,15241547.858641807,3.5750058139430814,3.5750058139430814,37190696.49654812,37190696.49654812,909069605.4345396,909069605.4345396
0.55,-17.11355311355311,-17.11355311355311,-2.179487179487167,-2.179487179487167,-4.188766788766737,-4.188766788766737,29604251.629902985,29604251.629902985,3.574139906086632,3.574139906086632,37191269.90493847,37191269.90493847,908781804.6784573,908781804.6784573
0.56,-12.799999999999999,-12.799999999999999,3.866666666666679,3.866666666666679,-13.059096459096407,-13.059096459096407,44040576.1115357,44040576.1115357,3.573219306071937,3.573219306071937,37191864.38862033,37191864.38862033,908494307.9827652,908494307.9827652
0.57,-9.049084249084249,-9.049084249084249,0.9875457875457997,0.9875457875457997,-3.6959706959706433,-3.6959706959706433,58542718.502213605,58542718.502213605,3.572244264103048,3.572244264103048,37192479.24021106,37192479.24021106,908207316.6740501,908207316.6740501
0.58,-6.1421245421245425,-6.1421245421245425,4.634432234432246,4.634432234432246,-12.073504273504222,-12.073504273504222,73102800.06986256,73102800.06986256,3.5712150803573817,3.5712150803573817,37193113.74707469,37193113.74707469,907921031.9405222,907921031.9405222
0.59,-9.049084249084249,-9.049084249084249,0.699633699633712,0.699633699633712,-1.7247863247862725,-1.7247863247862725,87712870.7445562,87712870.7445562,3.5701321048855297,3.5701321048855297,37193767.191818155,37193767.191818155,907635654.6987653,907635654.6987653
0.6,-7.5487179487179485,-7.5487179487179485,0.7956043956044079,0.7956043956044079,0.7391941391941916,0.7391941391941916,102364913.77383134,102364913.77383134,3.568995737468958,3.568995737468958,37194438.85278792,37194438.85278792,907351385.460354,907351385.460354
0.61,-8.58021978021978,-8.58021978021978,-3.523076923076911,-3.523076923076911,-1.2319902319901797,-1.2319902319901797,117050850.43750195,117050850.43750195,3.5678064274356576,3.5678064274356576,37195128.004566915,37195128.004566915,907068424.1984503,907068424.1984503
0.62,-5.485714285714286,-5.485714285714286,-3.427106227106215,-3.427106227106215,-5.174358974358922,-5.174358974358922,131762544.81900913,131762544.81900913,3.5665646734337826,3.5665646734337826,37195833.91847095,37195833.91847095,906786970.21445,906786970.21445
0.63,-2.672527472527473,-2.672527472527473,-1.0278388278388157,-1.0278388278388157,-5.174358974358922,-5.174358974358922,146491808.63029408,146491808.63029408,3.5652710231634286,3.5652710231634286,37196555.86304491,37196555.86304491,906507222.0047774,906507222.0047774
0.64,-1.9223443223443226,-1.9223443223443226,-1.7956043956043835,-1.7956043956043835,-12.073504273504222,-12.073504273504222,161230406.0871369,161230406.0871369,3.563926073066643,3.563926073066643,37197293.10455795,37197293.10455795,906229377.1279136,906229377.1279136
0.65,-5.767032967032966,-5.767032967032966,4.250549450549462,4.250549450549462,1.7247863247863773,1.7247863247863773,175970058.83186328,175970058.83186328,3.5625304679758902,3.5625304679758902,37198044.90749709,37198044.90749709,905953632.0717528,905953632.0717528
0.66,-5.954578754578754,-5.954578754578754,7.513553113553125,7.513553113553125,9.60952380952386,9.60952380952386,190702450.90028048,190702450.90028048,3.5610849007211476,3.5610849007211476,37198810.5350596,37198810.5350596,905680182.1213695,905680182.1213695
0.67,-4.360439560439561,-4.360439560439561,3.1948717948718075,3.1948717948718075,5.174358974359027,5.174358974359027,205419233.72966346,205419233.72966346,3.559590111695892,3.559590111695892,37199589.24964299,37199589.24964299,905409221.2272891,905409221.2272891
0.68,-5.110622710622711,-5.110622710622711,5.594139194139206,5.594139194139206,7.63833943833949,7.63833943833949,220112031.20458257,220112031.20458257,3.5580468883822864,3.5580468883822864,37200380.313333124,37200380.313333124,905140941.8743589,905140941.8743589
0.69,-5.954578754578754,-5.954578754578754,2.5230769230769354,2.5230769230769354,6.6527472527473055,6.6527472527473055,234772444.73732013,234772444.73732013,3.5564560648358183,3.5564560648358183,37201182.98838912,37201182.98838912,904875534.9512905,904875534.9512905
0.7,-3.797802197802198,-3.797802197802198,0.603663003663016,0.603663003663016,7.63833943833949,7.63833943833949,249392058.3796024,249392058.3796024,3.5548185211298042,3.5548185211298042,37201996.537725605,37201996.537725605,904613189.6209885,904613189.6209885
0.71,-0.7032967032967035,-0.7032967032967035,-2.9472527472527346,-2.9472527472527346,4.681562881562934,4.681562881562934,263962443.96233642,263962443.96233642,3.5531351827601223,3.5531351827601223,37202820.22539139,37202820.22539139,904354093.1917269,904354093.1917269
0.72,-3.797802197802198,-3.797802197802198,0.603663003663016,0.603663003663016,4.681562881562934,4.681562881562934,278475166.2600176,278475166.2600176,3.5514070200105743,3.5514070200105743,37203653.3170445,37203653.3170445,904098430.9892905,904098430.9892905
0.73,-5.016849816849817,-5.016849816849817,-0.9318681318681197,-0.9318681318681197,3.6959706959707486,3.6959706959707486,292921788.1764475,292921788.1764475,3.5496350472793705,3.5496350472793705,37204495.08042341,37204495.08042341,903846386.2301438,903846386.2301438
0.74,-2.9538461538461536,-2.9538461538461536,3.386813186813199,3.386813186813199,15.523076923076975,15.523076923076975,307293875.9483809,307293875.9483809,3.5478203223671705,3.5478203223671705,37205344.785813294,37205344.785813294,903598139.8957348,903598139.8957348
0.75,-1.5472527472527475,-1.5472527472527475,3.770695970695983,3.770695970695983,11.580708180708232,11.580708180708232,321583004.3636953,321583004.3636953,3.5459639457272405,3.5459639457272405,37206201.706508406,37206201.706508406,903353870.6080112,903353870.6080112
0.76,-1.4534798534798534,-1.4534798534798534,9.720879120879134,9.720879120879134,16.50866910866916,16.50866910866916,335780761.99066734,335780761.99066734,3.544067059678278,3.544067059678278,37207065.11926875,37207065.11926875,903113754.5062429,903113754.5062429
0.77,-3.235164835164835,-3.235164835164835,8.185347985347999,8.185347985347999,8.131135531135584,8.131135531135584,349878756.4149161,349878756.4149161,3.54213084758045,3.54213084758045,37207934.30477188,37207934.30477188,902877965.1252294,902877965.1252294
0.78,-0.6095238095238097,-0.6095238095238097,6.361904761904774,6.361904761904774,12.073504273504327,12.073504273504327,363868619.480562,363868619.480562,3.5401565329753035,3.5401565329753035,37208808.54805899,37208808.54805899,902646673.2749872,902646673.2749872
0.79,-4.360439560439561,-4.360439560439561,0.31575091575092806,0.31575091575092806,16.50866910866916,16.50866910866916,377742012.5321466,377742012.5321466,3.538145378690166,3.538145378690166,37209687.13897495,37209687.13897495,902420046.9219996,902420046.9219996
0.8,-3.61025641025641,-3.61025641025641,5.210256410256422,5.210256410256422,14.044688644688698,14.044688644688698,391490631.65383554,391490631.65383554,3.5360986859077292,3.5360986859077292,37210569.372602455,37210569.372602455,902198251.0721073,902198251.0721073
0.81,-2.484981684981685,-2.484981684981685,1.0835164835164957,1.0835164835164957,17.00146520146525,17.00146520146525,405106212.90243757,405106212.90243757,3.5340177932015044,3.5340177932015044,37211454.549689144,37211454.549689144,901981447.6551332,901981447.6551332
0.82,-0.32820512820512837,-0.32820512820512837,5.882051282051295,5.882051282051295,15.030280830280883,15.030280830280883,418580537.53075266,418580537.53075266,3.5319040755379265,3.5319040755379265,37212341.97706874,37212341.97706874,901769795.411321,901769795.411321
0.83,-0.8908424908424909,-0.8908424908424909,3.962637362637375,3.962637362637375,17.00146520146525,17.00146520146525,431905437.19777465,431905437.19777465,3.5297589432458065,3.5297589432458065,37213230.96807417,37213230.96807417,901563449.779669,901563449.779669
0.84,-1.3597069597069598,-1.3597069597069598,13.84761904761906,13.84761904761906,25.378998778998834,25.378998778998834,445072799.162265,445072799.162265,3.527583840954016,3.527583840954016,37214120.84294439,37214120.84294439,901362562.7882358,901362562.7882358
0.85,-8.861538461538462,-8.861538461538462,15.095238095238109,15.095238095238109,18.47985347985353,18.47985347985353,458074571.45622224,458074571.45622224,3.525380246498126,3.525380246498126,37215010.92922279,37215010.92922279,901167282.9465094,901167282.9465094
0.86,-10.455677655677654,-10.455677655677654,18.35824175824177,18.35824175824177,17.98705738705744,17.98705738705744,470902768.0347792,470902768.0347792,3.523149669796932,3.523149669796932,37215900.56214833,37215900.56214833,900977755.1399097,900977755.1399097
0.87,-7.173626373626373,-7.173626373626373,10.104761904761915,10.104761904761915,23.900610500610554,23.900610500610554,483549473.89906013,483549473.89906013,3.5208936516997094,3.5208936516997094,37216789.08503839,37216789.08503839,900794120.5265024,900794120.5265024
0.88,-6.1421245421245425,-6.1421245421245425,8.665201465201479,8.665201465201479,22.91501831501837,22.91501831501837,496006850.18855387,496006850.18855387,3.518613762805086,3.518613762805086,37217675.849663116,37217675.849663116,900616516.4360055,900616516.4360055
0.89,-5.298168498168498,-5.298168498168498,3.578754578754591,3.578754578754591,17.98705738705744,17.98705738705744,508267139.23955786,508267139.23955786,3.516311602252491,3.516311602252491,37218560.21661165,37218560.21661165,900445076.2711598,900445076.2711598
0.9,-5.298168498168498,-5.298168498168498,-1.5076923076922955,-1.5076923076922955,8.131135531135584,8.131135531135584,520322669.6062751,520322669.6062751,3.5139887964871095,3.5139887964871095,37219441.55564942,37219441.55564942,900279929.4115441,900279929.4115441
0.91,-6.048351648351648,-6.048351648351648,-0.6439560439560317,-0.6439560439560317,14.044688644688698,14.044688644688698,532165861.04115504,532165861.04115504,3.5116469979993217,3.5116469979993217,37220319.246066175,37220319.246066175,900121201.1198943,900121201.1198943
0.92,-1.1721611721611722,-1.1721611721611722,2.6190476190476315,2.6190476190476315,35.72771672771678,35.72771672771678,543789229.4310964,543789229.4310964,3.5092878840396406,3.5092878840396406,37221192.677015126,37221192.677015126,899969012.4510127,899969012.4510127
0.93,3.6102564102564094,3.6102564102564094,7.801465201465214,7.801465201465214,29.814163614163668,29.814163614163668,555185391.6861492,555185391.6861492,3.5069131553101416,3.5069131553101416,37222061.24784286,37222061.24784286,899823480.1633284,899823480.1633284
0.94,2.953846153846153,2.953846153846153,12.983882783882796,12.983882783882796,21.929426129426183,21.929426129426183,566347070.5773792,566347070.5773792,3.50452453463345,3.50452453463345,37222924.36840915,37222924.36840915,899684716.6331793,899684716.6331793
0.95,-7.83003663003663,-7.83003663003663,10.872527472527485,10.872527472527485,28.335775335775384,28.335775335775384,577267099.5205805,577267099.5205805,3.5021237656003303,3.5021237656003303,37223781.4593975,37223781.4593975,899552829.7718807,899552829.7718807
0.96,-26.584615384615386,-26.584615384615386,12.983882783882796,12.983882783882796,30.79975579975585,30.79975579975585,587938427.3025652,587938427.3025652,3.499712611196981,3.499712611196981,37224631.952615485,37224631.952615485,899427922.9456484,899427922.9456484
0.97,-14.394139194139195,-14.394139194139195,9.33699633699635,9.33699633699635,26.85738705738711,26.85738705738711,598354122.7467713,598354122.7467713,3.4972928524131026,3.4972928524131026,37225475.29128508,37225475.29128508,899310094.8984377,899310094.8984377
0.98,-49.18388278388279,-49.18388278388279,8.953113553113564,8.953113553113564,16.01587301587307,16.01587301587307,608507379.3149837,608507379.3149837,3.4948662868318814,3.4948662868318814,37226310.9303227,37226310.9303227,899199439.6777568,899199439.6777568
0.99,-63.812454212454206,-63.812454212454206,2.1391941391941516,2.1391941391941516,27.842979242979297,27.842979242979297,618391519.6419849,618391519.6419849,3.4924347272030296,3.4924347272030296,37227138.33660884,37227138.33660884,899096046.5635214,899096046.5635214
1.0,-64.0,-64.0,4.250549450549462,4.250549450549462,10.595115995116046,10.595115995116046,628000000.0,628000000.0,3.4900000000000007,3.4900000000000007,37227956.98924731,37227956.98924731,899000000.0000001,899000000.0000001
1.01,-63.9062271062271,-63.9062271062271,0.9875457875457997,0.9875457875457997,-7.6383394383393854,-7.6383394383393854,637326414.6898358,637326414.6898358,3.4875639439625736,3.4875639439625736,37228766.3798134,37228766.3798134,898911379.5309117,898911379.5309117
1.02,-62.968498168498165,-62.968498168498165,1.6593406593406714,1.6593406593406714,-1.2319902319901797,-1.2319902319901797,646364500.3556631,646364500.3556631,3.4851284086259797,3.4851284086259797,37229566.01259173,37229566.01259173,898830259.7377267,898830259.7377267
1.03,-61.37435897435897,-61.37435897435897,3.0029304029304154,3.0029304029304154,-8.62393162393157,-8.62393162393157,655108140.220427,655108140.220427,3.4826952528377535,3.4826952528377535,37230355.4048029,37230355.4048029,898756710.1812247,898756710.1812247
1.04,-59.498901098901094,-59.498901098901094,3.962637362637375,3.962637362637375,-14.537484737484686,-14.537484737484686,663551368.2389326,663551368.2389326,3.4802663432635303,3.4802663432635303,37231134.08681915,37231134.08681915,898690795.3463554,898690795.3463554
1.05,-56.3106227106227,-56.3106227106227,8.56923076923078,8.56923076923078,-25.378998778998724,-25.378998778998724,671688373.1656834,671688373.1656834,3.4778435528829905,3.4778435528829905,37231901.6023691,37231901.6023691,898632574.590458,898632574.590458
1.06,-50.68424908424908,-50.68424908424908,8.56923076923078,8.56923076923078,-42.13406593406589,-42.13406593406589,679513502.5346208,679513502.5346208,3.47542875947717,3.47542875947717,37232657.50873091,37232657.50873091,898582102.094871,898582102.094871
1.07,-48.996336996337,-48.996336996337,7.801465201465214,7.801465201465214,-60.36752136752132,-60.36752136752132,687021266.5479529,687021266.5479529,3.4730238441084174,3.4730238441084174,37233401.37691468,37233401.37691468,898539426.819994,898539426.819994
1.08,-36.055677655677655,-36.055677655677655,-2.8512820512820394,-2.8512820512820394,-71.70183150183144,-71.70183150183144,694206341.8713251,694206341.8713251,3.4706306895941714,3.4706306895941714,37234132.79183303,37234132.79183303,898504592.4638255,898504592.4638255
1.09,-36.33699633699633,-36.33699633699633,-5.1545787545787425,-5.1545787545787425,-93.38485958485954,-93.38485958485954,701063575.3326365,701063575.3326365,3.4682511789758634,3.4682511789758634,37234851.352460645,37234851.352460645,898477637.4240259,898477637.4240259
